iter	Passed	Remaining
0	8	4413
1	17	4236
2	26	4379
3	34	4299
4	43	4310
5	51	4207
6	59	4188
7	68	4208
8	77	4254
9	86	4221
10	94	4216
11	105	4301
12	114	4303
13	123	4288
14	133	4328
15	143	4349
16	152	4337
17	161	4313
18	170	4324
19	179	4301
20	188	4296
21	196	4264
22	205	4252
23	213	4226
24	222	4220
25	231	4212
26	239	4200
27	248	4185
28	256	4171
29	265	4161
30	273	4141
31	282	4127
32	290	4109
33	299	4105
34	308	4094
35	316	4080
36	324	4065
37	333	4058
38	341	4039
39	351	4044
40	360	4035
41	369	4033
42	379	4029
43	388	4021
44	396	4008
45	405	4006
46	414	3994
47	423	3987
48	432	3976
49	441	3975
50	449	3960
51	459	3961
52	468	3952
53	477	3944
54	485	3930
55	496	3935
56	504	3923
57	514	3917
58	522	3909
59	531	3898
60	540	3887
61	549	3881
62	557	3865
63	566	3859
64	574	3847
65	585	3850
66	594	3838
67	604	3840
68	612	3823
69	620	3814
70	630	3807
71	639	3800
72	648	3795
73	659	3797
74	667	3782
75	676	3775
76	685	3767
77	694	3759
78	703	3749
79	713	3744
80	722	3735
81	730	3725
82	741	3727
83	751	3723
84	761	3718
85	773	3724
86	784	3724
87	794	3719
88	803	3710
89	813	3705
90	824	3704
91	833	3697
92	844	3694
93	852	3681
94	861	3672
95	872	3671
96	881	3663
97	896	3679
98	907	3673
99	917	3670
100	928	3667
101	939	3666
102	948	3654
103	956	3642
104	965	3631
105	973	3619
106	982	3610
107	992	3603
108	1001	3591
109	1009	3579
110	1018	3567
111	1028	3561
112	1036	3550
113	1045	3539
114	1053	3527
115	1062	3516
116	1070	3504
117	1079	3494
118	1089	3487
119	1098	3477
120	1106	3465
121	1115	3456
122	1124	3447
123	1133	3437
124	1142	3427
125	1151	3417
126	1160	3407
127	1168	3397
128	1179	3391
129	1187	3380
130	1195	3368
131	1204	3358
132	1213	3347
133	1222	3338
134	1230	3326
135	1240	3319
136	1248	3308
137	1257	3298
138	1266	3290
139	1275	3279
140	1283	3268
141	1291	3257
142	1301	3248
143	1309	3237
144	1318	3228
145	1328	3220
146	1336	3208
147	1345	3199
148	1352	3186
149	1362	3179
150	1370	3168
151	1379	3158
152	1388	3149
153	1397	3140
154	1406	3130
155	1415	3121
156	1424	3112
157	1433	3103
158	1442	3092
159	1452	3086
160	1460	3074
161	1469	3065
162	1478	3056
163	1487	3048
164	1496	3037
165	1505	3028
166	1514	3019
167	1522	3009
168	1531	2999
169	1541	2992
170	1549	2981
171	1558	2972
172	1566	2960
173	1575	2951
174	1583	2940
175	1592	2931
176	1600	2920
177	1608	2910
178	1616	2898
179	1624	2888
180	1632	2877
181	1640	2866
182	1649	2857
183	1658	2848
184	1668	2840
185	1676	2830
186	1685	2820
187	1693	2811
188	1702	2800
189	1711	2792
190	1720	2783
191	1729	2774
192	1738	2765
193	1747	2756
194	1756	2747
195	1766	2740
196	1776	2732
197	1784	2722
198	1794	2713
199	1802	2704
200	1810	2693
201	1819	2684
202	1827	2674
203	1836	2664
204	1844	2654
205	1852	2644
206	1862	2635
207	1871	2627
208	1882	2621
209	1891	2612
210	1901	2603
211	1910	2595
212	1919	2586
213	1927	2576
214	1937	2568
215	1946	2559
216	1955	2549
217	1964	2540
218	1973	2532
219	1982	2522
220	1991	2514
221	2000	2505
222	2009	2496
223	2018	2487
224	2028	2479
225	2038	2471
226	2048	2463
227	2057	2453
228	2068	2447
229	2077	2438
230	2087	2430
231	2096	2422
232	2106	2413
233	2117	2406
234	2126	2398
235	2137	2390
236	2145	2381
237	2156	2373
238	2165	2365
239	2174	2355
240	2184	2348
241	2191	2336
242	2200	2327
243	2209	2318
244	2219	2310
245	2229	2301
246	2239	2294
247	2248	2284
248	2257	2275
249	2267	2267
250	2276	2258
251	2285	2249
252	2295	2240
253	2304	2232
254	2315	2224
255	2328	2218
256	2338	2211
257	2347	2202
258	2357	2193
259	2366	2184
260	2375	2175
261	2385	2167
262	2399	2162
263	2413	2157
264	2424	2150
265	2432	2140
266	2443	2132
267	2452	2123
268	2462	2114
269	2474	2107
270	2483	2098
271	2494	2091
272	2504	2082
273	2514	2074
274	2523	2064
275	2534	2056
276	2543	2047
277	2554	2039
278	2564	2031
279	2575	2023
280	2586	2015
281	2595	2006
282	2605	1997
283	2614	1988
284	2623	1979
285	2631	1969
286	2641	1960
287	2649	1950
288	2659	1941
289	2668	1932
290	2677	1923
291	2685	1913
292	2694	1903
293	2704	1894
294	2713	1885
295	2722	1876
296	2732	1867
297	2740	1857
298	2749	1848
299	2759	1839
300	2768	1830
301	2778	1821
302	2787	1812
303	2795	1802
304	2803	1792
305	2815	1784
306	2825	1776
307	2834	1766
308	2842	1757
309	2851	1747
310	2860	1738
311	2869	1729
312	2882	1722
313	2892	1713
314	2902	1704
315	2911	1695
316	2922	1687
317	2932	1678
318	2947	1672
319	2966	1668
320	2979	1661
321	2987	1651
322	2996	1642
323	3006	1632
324	3014	1623
325	3023	1614
326	3032	1604
327	3042	1595
328	3051	1586
329	3060	1576
330	3069	1567
331	3077	1557
332	3086	1547
333	3093	1537
334	3103	1528
335	3112	1518
336	3121	1509
337	3129	1500
338	3139	1490
339	3148	1481
340	3157	1472
341	3166	1462
342	3175	1453
343	3183	1443
344	3192	1434
345	3200	1424
346	3209	1415
347	3217	1405
348	3226	1396
349	3235	1386
350	3244	1377
351	3253	1367
352	3261	1358
353	3271	1349
354	3279	1339
355	3288	1330
356	3296	1320
357	3306	1311
358	3315	1302
359	3323	1292
360	3333	1283
361	3342	1274
362	3351	1264
363	3361	1256
364	3370	1246
365	3380	1237
366	3389	1228
367	3397	1218
368	3407	1209
369	3415	1200
370	3424	1190
371	3433	1181
372	3441	1171
373	3452	1162
374	3460	1153
375	3471	1144
376	3480	1135
377	3499	1129
378	3507	1119
379	3517	1110
380	3526	1101
381	3535	1092
382	3544	1082
383	3553	1073
384	3561	1063
385	3570	1054
386	3578	1044
387	3587	1035
388	3595	1025
389	3603	1016
390	3612	1007
391	3620	997
392	3629	988
393	3638	978
394	3648	969
395	3656	960
396	3665	950
397	3674	941
398	3683	932
399	3691	922
400	3700	913
401	3709	904
402	3718	895
403	3727	885
404	3736	876
405	3745	867
406	3753	857
407	3762	848
408	3771	839
409	3779	829
410	3788	820
411	3797	811
412	3806	801
413	3815	792
414	3823	783
415	3832	773
416	3840	764
417	3848	755
418	3856	745
419	3867	736
420	3878	727
421	3887	718
422	3895	709
423	3904	699
424	3912	690
425	3926	681
426	3934	672
427	3943	663
428	3952	654
429	3961	644
430	3970	635
